es,en
"hipertensión","hypertension"
"diabetes mellitus","diabetes mellitus"
"cardiología","cardiology"
"oncología","oncology"
"neurología","neurology"
"insuficiencia cardiaca","heart failure"
"infarto agudo de miocardio","acute myocardial infarction"
"electrocardiograma","electrocardiogram"
"hemoglobina glicosilada","glycated hemoglobin"
"glucosa en ayunas","fasting glucose"
"presión arterial","blood pressure"
"tratamiento anticoagulante","anticoagulant therapy"
"fibrilación auricular","atrial fibrillation"
"enfermedad pulmonar obstructiva crónica","chronic obstructive pulmonary disease"
"resonancia magnética","magnetic resonance imaging"
"tomografía computarizada","computed tomography"
"síndrome coronario agudo","acute coronary syndrome"
"insuficiencia renal crónica","chronic kidney disease"
"biopsia","biopsy"
"quimioterapia","chemotherapy"
