Phrase	IPA	SoundsLike	DisplayAs
hipertensión			hipertension
diabetes-mellitus			diabetes mellitus
cardiología			cardiologia
oncología			oncologia
neurología			neurologia
insuficiencia-cardiaca			insuficiencia cardiaca
infarto-agudo-de-miocardio			infarto agudo de miocardio
electrocardiograma			electrocardiograma
hemoglobina-glicosilada			hemoglobina glicosilada
glucosa-en-ayunas			glucosa en ayunas
presión-arterial			presion arterial
tratamiento-anticoagulante			tratamiento anticoagulante
fibrilación-auricular			fibrilacion auricular
enfermedad-pulmonar-obstructiva-crónica			EPOC
resonancia-magnética			resonancia magnetica
tomografía-computarizada			tomografia computarizada
síndrome-coronario-agudo			sindrome coronario agudo
insuficiencia-renal-crónica			insuficiencia renal cronica
biopsia			biopsia
quimioterapia			quimioterapia
